name,province,electorialDistrictNumber,fromParty
อภิชา เลิศพชรกมล,นครราชสีมา,9,ภูมิใจไทย
อภิชาติ ตีรสวัสดิชัย,สกลนคร,1,เพื่อไทย
อรุณ สวัสดี,สงขลา,4,พลังประชารัฐ
อัครเดช วงษ์พิทักษ์โรจน์,ราชบุรี,4,ประชาธิปัตย์
อัครวัฒน์ อัศวเหม,สมุทรปราการ,1,พลังประชารัฐ
อัฏฐพล โพธิพิพิธ,กาญจนบุรี,5,พลังประชารัฐ
อันวาร์ สาและ,ปัตตานี,1,ประชาธิปัตย์
อับดุลบาซิม อาบู,ปัตตานี,2,ภูมิใจไทย
อับดุลอายี สาแม็ง,ยะลา,3,ประชาชาติ
อาดิลัน อาลีอิสเฮาะ,ยะลา,1,พลังประชารัฐ
อาภรณ์ สาราคำ,อุดรธานี,4,เพื่อไทย
อาสพลธ์ สรรณ์ไตรภพ,ศรีสะเกษ,7,ภูมิใจไทย
อำนาจ วิลาวัลย์,ปราจีนบุรี,1,ภูมิใจไทย
อิทธิรัตน์ จันทรสุรินทร์,ลำปาง,4,เพื่อไทย
อุบลศักดิ์ บัวหลวงงาม,ลพบุรี,3,เพื่อไทย
เอกการ ซื่อทรงธรรม,แพร่,1,ภูมิใจไทย
เอกชัย ทรงอำนาจเจริญ,อุบลราชธานี,4,เพื่อไทย
เอกธนัช อินทร์รอด,หนองคาย,3,เพื่อไทย
เอกภพ เพียรพิเศษ,เชียงราย,1,ก้าวไกล
เอี่ยม ทองใจสด,เพชรบูรณ์,5,พลังประชารัฐ
